number,value,datetime_start,datetime_complete,duration,params_clf_name,params_dt_criterion,params_dt_max_depth,params_dt_max_features,params_dt_min_samples_leaf,params_dt_splitter,params_rf_bootstrap,params_rf_class_weight,params_rf_max_depth,params_rf_max_features,params_svm_C,params_svm_loss,state
0,0.9089926640196608,2022-02-07 00:54:24.708466,2022-02-07 00:54:25.041550,0 days 00:00:00.333084,svm,,,,,,,,,,2.5220393373461705,squared_hinge,COMPLETE
1,0.9089926640196608,2022-02-07 00:54:25.079113,2022-02-07 00:54:25.398118,0 days 00:00:00.319005,svm,,,,,,,,,,2.162975500772578,squared_hinge,COMPLETE
2,0.9089926640196608,2022-02-07 00:54:25.432429,2022-02-07 00:54:25.779987,0 days 00:00:00.347558,svm,,,,,,,,,,1.5173235951105897,squared_hinge,COMPLETE
3,0.8477430999848623,2022-02-07 00:54:25.844839,2022-02-07 00:54:25.975882,0 days 00:00:00.131043,dt,entropy,5.0,log2,100.0,best,,,,,,,COMPLETE
4,0.9089926640196608,2022-02-07 00:54:26.016175,2022-02-07 00:54:26.331531,0 days 00:00:00.315356,svm,,,,,,,,,,2.1907705590778592,hinge,COMPLETE
5,0.9003540334049503,2022-02-07 00:54:28.995946,2022-02-07 00:54:29.502312,0 days 00:00:00.506366,rf,,,,,,True,balanced,30.0,sqrt,,,COMPLETE
6,0.9089926640196608,2022-02-07 00:54:29.553832,2022-02-07 00:54:29.896465,0 days 00:00:00.342633,svm,,,,,,,,,,0.6381461554149168,hinge,COMPLETE
7,0.895658832380246,2022-02-07 00:54:29.937462,2022-02-07 00:54:30.480523,0 days 00:00:00.543061,rf,,,,,,False,balanced,20.0,auto,,,COMPLETE
8,0.4944016694486157,2022-02-07 00:54:30.513082,2022-02-07 00:54:30.609302,0 days 00:00:00.096220,dt,entropy,2.0,auto,50.0,best,,,,,,,COMPLETE
9,0.9030435749557787,2022-02-07 00:54:30.654848,2022-02-07 00:54:30.996981,0 days 00:00:00.342133,rf,,,,,,True,balanced,10.0,sqrt,,,COMPLETE
10,0.9089926640196608,2022-02-07 00:54:31.053408,2022-02-07 00:54:31.355793,0 days 00:00:00.302385,svm,,,,,,,,,,0.10894518865314338,squared_hinge,COMPLETE
11,0.9089926640196608,2022-02-07 00:54:31.387422,2022-02-07 00:54:31.727539,0 days 00:00:00.340117,svm,,,,,,,,,,2.750709591022921,squared_hinge,COMPLETE
12,0.9089926640196608,2022-02-07 00:54:31.763419,2022-02-07 00:54:32.152498,0 days 00:00:00.389079,svm,,,,,,,,,,0.9439594675422838,squared_hinge,COMPLETE
13,0.9089926640196608,2022-02-07 00:54:32.195605,2022-02-07 00:54:32.512166,0 days 00:00:00.316561,svm,,,,,,,,,,0.18267185373736908,squared_hinge,COMPLETE
14,0.9089926640196608,2022-02-07 00:54:32.544235,2022-02-07 00:54:32.846149,0 days 00:00:00.301914,svm,,,,,,,,,,1.2451478981967052,squared_hinge,COMPLETE
