Area,Perimeter,MajorAxisLength,AspectRation,ConvexArea,EquivDiameter,Compactness,ShapeFactor2,labels
35280,717.703,264.9952501,1.558472482,35772,211.9431318,0.799799739,0.001895895,3
83296,1142.638,446.7658888,1.869209194,84270,325.6620351,0.728932184,0.00093408,2
35594,689.634,254.572928,1.426643729,35966,212.8842135,0.836240582,0.002157447,3
52710,872.7,326.0393835,1.572035916,53280,259.0607195,0.794568793,0.001520838,6
62855,1004.759,413.879306,2.130112118,63781,282.8948066,0.683520056,0.000886582,4
36112,723.077,225.328776,1.100956695,36709,214.4276718,0.95162134,0.003156469,5
59442,975.979,402.8874444,2.118793521,60289,275.1070792,0.682838552,0.000908955,4
58931,957.164,388.3543443,2.00138251,59526,273.922032,0.70534046,0.001006142,4
34010,681.989,257.8296401,1.528818006,34410,208.0934331,0.807096628,0.001984304,3
27280,603.203,223.0210859,1.428199331,27550,186.3705309,0.835663274,0.002459272,3
49201,832.864,315.9453399,1.584449493,49720,250.2891505,0.792191303,0.001560048,6
30450,662.971,247.1067354,1.571092611,30869,196.9013564,0.796827153,0.002018058,3
38746,714.422,250.5392244,1.271419594,39096,222.1101965,0.886528635,0.002463767,5
24098,571.72,198.4735916,1.28088015,24466,175.1642845,0.882557136,0.003082285,3
60629,966.33,398.2477692,2.042339374,61259,277.8403145,0.697656926,0.000959888,4
35762,704.422,269.095698,1.586874636,36156,213.3860178,0.792974468,0.001835277,3
41992,763.279,293.2241221,1.603373183,42415,231.2268907,0.788567083,0.001665588,3
41461,737.975,259.440843,1.272601534,41857,229.7602767,0.885597942,0.002374241,5
28376,620.275,231.0659303,1.473395819,28702,190.0774719,0.822611415,0.002300083,3
59704,975.007,409.6351169,2.200219349,60312,275.7127015,0.673069007,0.000868584,4
91671,1251.82,446.6364958,1.703693496,93273,341.6418334,0.764921444,0.001028891,0
25350,593.725,229.9068689,1.634255668,25595,179.6569577,0.781433624,0.002086038,3
27755,616.755,217.3120617,1.327661791,28132,187.9860728,0.86505126,0.002704517,3
53037,853.987,306.6590107,1.390812279,53549,259.8630519,0.847400673,0.001839127,5
46364,820.682,323.4547909,1.7675276,46838,242.9660023,0.751159077,0.001370062,6
37807,728.09,272.0901416,1.533976856,38253,219.4022959,0.806358858,0.001876868,3
32861,672.026,253.0593984,1.527377597,33210,204.5480987,0.808300739,0.002027745,3
30529,655.51,246.3624399,1.555606152,30915,197.156613,0.800270581,0.002041687,3
34594,670.069,233.4408877,1.236013359,34848,209.8724584,0.899038984,0.002719381,5
42827,798.445,315.100763,1.817130627,43517,233.5145177,0.741078871,0.001368892,6
29346,631.556,235.8091427,1.486410813,29687,193.2989593,0.819726314,0.002238036,3
65088,1011.127,369.3171616,1.638789297,66543,287.8760419,0.779481898,0.001292119,0
51028,893.291,362.1019825,2.014674462,51763,254.8938357,0.703928308,0.001074771,4
30501,651.07,244.9141178,1.541162536,30878,197.0661801,0.804633812,0.002076216,3
45915,804.283,312.535535,1.668562528,46329,241.7866698,0.773629373,0.00150403,6
47677,834.119,313.9661431,1.617424659,48354,246.3823082,0.784741647,0.001540496,6
58434,980.706,396.4179073,2.08559686,59309,272.764513,0.688073137,0.000938006,4
42600,776.305,283.7426418,1.477935538,43165,232.8948359,0.820796037,0.001864815,6
40393,730.714,250.9649438,1.222263119,40765,226.7817562,0.903639181,0.002555447,5
43507,790.454,300.6493224,1.625572142,44067,235.3610692,0.782842507,0.001600953,6
35495,704.595,253.8907406,1.423196736,35963,212.5879527,0.837320621,0.002168835,3
56866,975.289,391.8120412,2.095552539,58051,269.079988,0.686757832,0.000945408,4
43314,792.262,302.6735269,1.657147436,43769,234.8384501,0.775880377,0.001562086,6
38503,758.002,294.7582549,1.761834951,39024,221.4126062,0.75116677,0.001503476,6
72697,1015.816,391.4185544,1.636541667,73964,304.2378924,0.777269981,0.00121225,2
36458,731.111,283.698962,1.720214517,36979,215.4524711,0.759440463,0.001596686,4
28583,635.193,243.6148341,1.627130196,28947,190.7695099,0.783078381,0.001976954,3
72035,1049.221,407.5562343,1.793825629,73039,302.8494851,0.743086376,0.001064096,2
32433,653.76,219.8366971,1.169286684,32775,203.2116585,0.924375508,0.003052717,5
53609,893.456,354.7254337,1.83458753,54085,261.2605955,0.736514979,0.001201049,2
35376,681.424,236.606393,1.241944882,35693,212.231294,0.896980387,0.002670726,5
51932,897.618,313.7611961,1.484665271,52906,257.1417431,0.819546032,0.00168127,0
31464,666.041,240.9890351,1.445384217,31930,200.1529641,0.830548012,0.002248133,3
77606,1067.024,407.8598948,1.667971354,78338,314.342215,0.770711264,0.001143832,2
38792,718.64,242.7816822,1.192433925,39186,222.2420042,0.915398568,0.002710781,5
40504,740.479,245.5417356,1.166878224,40946,227.0931406,0.924865747,0.002736037,5
84226,1113.968,440.5559563,1.793359986,85372,327.4749974,0.743322143,0.000985015,2
66011,987.176,383.905545,1.737115562,66822,289.9100129,0.755159744,0.001166657,2
70114,1011.797,371.3716281,1.540178105,71138,298.7840649,0.80454198,0.001368922,0
54040,917.08,359.0696251,1.848235669,54979,262.3087208,0.730523281,0.001167292,4
55107,850.202,297.8084705,1.261962986,55515,264.8856576,0.88944971,0.002086391,5
87831,1160.439,461.1062166,1.886031959,88699,334.4097822,0.725233732,0.00089587,2
42438,782.142,297.9735621,1.635231127,43022,232.4515859,0.780108088,0.001604064,6
45525,840.696,348.6462684,2.090227376,46054,240.7576173,0.690549818,0.001074224,4
45308,789.661,290.3709124,1.457852942,45780,240.1831328,0.827159755,0.001850613,6
62200,998.455,405.3660948,2.063456372,63066,281.4169499,0.694229126,0.000933788,4
25623,586.152,212.7174707,1.382929461,25883,180.6217508,0.849115732,0.002662076,3
23512,570.132,210.1506504,1.463692714,23797,173.0214096,0.823320838,0.002533363,3
40531,751.011,280.3221733,1.515435826,40966,227.1688183,0.810384764,0.001839988,6
51106,887.937,369.4886268,2.092896854,51520,255.0885732,0.690382747,0.001013138,4
40248,725.14,256.4383641,1.282099501,40570,226.3743475,0.882763187,0.002386686,5
34079,698.752,267.0506849,1.639074226,34540,208.3044177,0.780018287,0.001789393,3
38967,733.899,269.3524021,1.454021912,39465,222.7427335,0.826956551,0.001994043,3
40725,765.362,286.7409276,1.566913736,41226,227.7118364,0.794137894,0.001727397,6
53240,920.951,381.4576145,2.137128448,53846,260.359892,0.682539507,0.000959178,4
73266,1044.036,379.3120306,1.53173545,74227,305.4262079,0.80521097,0.001342495,0
79456,1147.524,390.5260079,1.496938412,81544,318.0668503,0.814457536,0.001334064,0
