Perimeter,MajorAxisLength,MinorAxisLength,roundness,Compactness,ShapeFactor1,ShapeFactor3,ShapeFactor4,Class
741.226,260.1993305,207.3063941,0.968387491,0.892317032,0.006145618,0.796229686,0.999382735,SEKER
1088.754,370.3681457,237.863792,0.723492282,0.795908632,0.005426878,0.63347055,0.986351522,BARBUNYA
708.716,248.4303303,194.3603238,0.947109324,0.883726349,0.006562509,0.78097226,0.998234581,SEKER
648.385,222.5263095,189.7373793,0.9906854,0.923144321,0.006714127,0.852195437,0.999465189,SEKER
647.57,237.7140308,161.0048485,0.896748339,0.821140216,0.00794366,0.674271254,0.995521186,DERMASON
707.978,244.1193992,200.9500838,0.964954791,0.906819981,0.006342576,0.822322477,0.998978778,SEKER
1155.357,452.2914051,254.9645328,0.843425439,0.74674331,0.005048346,0.55762557,0.989193477,CALI
759.965,251.0375673,215.2179124,0.922090156,0.925319456,0.005923631,0.856216096,0.998719872,SEKER
1735.247,648.1573185,401.698875,0.849431759,0.785407868,0.003184485,0.61686552,0.995337369,BOMBAY
608.784,225.4924114,154.595717,0.925851832,0.826898437,0.00825798,0.683761026,0.997329846,DERMASON
667.768,246.9378447,172.4005594,0.940686669,0.834854077,0.007397778,0.696981329,0.998320817,DERMASON
832.392,322.7953758,189.6906534,0.868449343,0.76493224,0.006741195,0.585121332,0.995697241,SIRA
757.604,282.6748516,187.2938924,0.907528679,0.812709605,0.006819494,0.660496902,0.996860397,DERMASON
902.24,364.9581306,189.8962923,0.828725261,0.71636515,0.006798266,0.513179028,0.98626917,HOROZ
585.498,207.3732686,155.4842351,0.92185472,0.862887171,0.008246114,0.74457427,0.993057592,DERMASON
1591.312,590.5548666,379.9937603,0.866554056,0.79844139,0.003381924,0.637508653,0.99076321,BOMBAY
679.539,248.8774642,171.3799586,0.909168891,0.828707415,0.007449414,0.686755979,0.997304982,DERMASON
795.062,294.8206719,199.020609,0.913547619,0.820462597,0.006415561,0.673158874,0.997188947,SIRA
1097.068,381.5750796,229.1517604,0.713215375,0.772883471,0.005586015,0.59734886,0.994683342,BARBUNYA
551.696,204.7763134,136.7099579,0.906697265,0.816584995,0.009324544,0.666811053,0.998808802,DERMASON
1179.367,453.2093773,267.5462336,0.844768023,0.76132299,0.004847004,0.579612696,0.981833701,CALI
1047.582,395.0915622,244.418388,0.856321192,0.781013869,0.005283173,0.609982664,0.986010118,CALI
914.213,378.3393914,182.9928585,0.812062127,0.693123442,0.007004988,0.480420105,0.993272916,HOROZ
636.078,231.8799753,162.6597673,0.917827986,0.836523036,0.007846773,0.699770789,0.997559729,DERMASON
1403.006,502.613464,353.8114117,0.885948143,0.836333876,0.003621735,0.699454352,0.993623053,BOMBAY
688.213,240.1784495,189.8509594,0.949328664,0.888683792,0.006712458,0.789758882,0.999115645,SEKER
1026.906,403.3067677,226.2540259,0.845332218,0.745176275,0.005685342,0.555287681,0.989822298,CALI
558.141,209.5732133,140.4901513,0.931420827,0.818146833,0.009076363,0.66936424,0.998509955,DERMASON
734.386,253.3075393,211.1406618,0.978145633,0.912700231,0.006034005,0.833021711,0.999384382,SEKER
1160.772,447.7111926,267.3885695,0.871966415,0.770635441,0.004788662,0.593878983,0.994381578,CALI
915.307,359.2053494,197.7867172,0.832276326,0.73995939,0.006473685,0.5475399,0.994400755,HOROZ
724.509,242.8715934,190.5793454,0.868347978,0.884838658,0.006695842,0.782939452,0.997766845,SEKER
721.732,249.2813549,198.6156567,0.936632894,0.891909922,0.00642064,0.795503308,0.998431573,SEKER
638.896,239.9517784,158.6249029,0.918061402,0.812067608,0.008046403,0.6594538,0.997555297,DERMASON
904.806,358.823553,186.3452156,0.804291781,0.719832536,0.006848039,0.518158879,0.997758969,HOROZ
1530.105,571.898425,351.3914853,0.834309885,0.777886359,0.003679247,0.605107187,0.984827071,BOMBAY
790.752,301.2185767,187.2377707,0.886494753,0.786768129,0.00682865,0.619004089,0.99582221,SIRA
589.45,220.5987438,146.1876275,0.915249338,0.813698988,0.008717251,0.662106044,0.99912533,DERMASON
736.601,253.9681095,199.938391,0.92097161,0.885984995,0.006386725,0.784969411,0.997093136,SEKER
