Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,EquivDiameter,Compactness,ShapeFactor1,ShapeFactor3,Class
741.226,260.1993305,207.3063941,1.255143777,232.1802944,0.892317032,0.006145618,0.796229686,SEKER
1088.754,370.3681457,237.863792,1.557059789,294.7792042,0.795908632,0.005426878,0.63347055,BARBUNYA
708.716,248.4303303,194.3603238,1.278194672,219.5444288,0.883726349,0.006562509,0.78097226,SEKER
648.385,222.5263095,189.7373793,1.172812181,205.4238989,0.923144321,0.006714127,0.852195437,SEKER
647.57,237.7140308,161.0048485,1.476440201,195.1965506,0.821140216,0.00794366,0.674271254,DERMASON
707.978,244.1193992,200.9500838,1.214826063,221.3723489,0.906819981,0.006342576,0.822322477,SEKER
1155.357,452.2914051,254.9645328,1.773938517,337.7455807,0.74674331,0.005048346,0.55762557,CALI
759.965,251.0375673,215.2179124,1.166434357,232.2899453,0.925319456,0.005923631,0.856216096,SEKER
1735.247,648.1573185,401.698875,1.613540288,509.0678579,0.785407868,0.003184485,0.61686552,BOMBAY
608.784,225.4924114,154.595717,1.458594169,186.4593227,0.826898437,0.00825798,0.683761026,DERMASON
667.768,246.9378447,172.4005594,1.43234944,206.1570663,0.834854077,0.007397778,0.696981329,DERMASON
832.392,322.7953758,189.6906534,1.701693626,246.9165899,0.76493224,0.006741195,0.585121332,SIRA
757.604,282.6748516,187.2938924,1.509258246,229.7325671,0.812709605,0.006819494,0.660496902,DERMASON
902.24,364.9581306,189.8962923,1.921881287,261.4432859,0.71636515,0.006798266,0.513179028,HOROZ
585.498,207.3732686,155.4842351,1.333725368,178.9397331,0.862887171,0.008246114,0.74457427,DERMASON
1591.312,590.5548666,379.9937603,1.554117273,471.5234486,0.79844139,0.003381924,0.637508653,BOMBAY
679.539,248.8774642,171.3799586,1.452197014,206.2465999,0.828707415,0.007449414,0.686755979,DERMASON
795.062,294.8206719,199.020609,1.481357501,241.8893343,0.820462597,0.006415561,0.673158874,SIRA
1097.068,381.5750796,229.1517604,1.665163204,294.913072,0.772883471,0.005586015,0.59734886,BARBUNYA
551.696,204.7763134,136.7099579,1.49788879,167.2172648,0.816584995,0.009324544,0.666811053,DERMASON
1179.367,453.2093773,267.5462336,1.693947888,345.0387183,0.76132299,0.004847004,0.579612696,CALI
1047.582,395.0915622,244.418388,1.616455969,308.5719898,0.781013869,0.005283173,0.609982664,CALI
914.213,378.3393914,182.9928585,2.067509052,262.2359011,0.693123442,0.007004988,0.480420105,HOROZ
636.078,231.8799753,162.6597673,1.425552115,193.9729409,0.836523036,0.007846773,0.699770789,DERMASON
1403.006,502.613464,353.8114117,1.420568832,420.3526666,0.836333876,0.003621735,0.699454352,BOMBAY
688.213,240.1784495,189.8509594,1.265089469,213.4426952,0.888683792,0.006712458,0.789758882,SEKER
1026.906,403.3067677,226.2540259,1.78253963,300.534635,0.745176275,0.005685342,0.555287681,CALI
558.141,209.5732133,140.4901513,1.49172886,171.4616607,0.818146833,0.009076363,0.66936424,DERMASON
734.386,253.3075393,211.1406618,1.199709886,231.1938496,0.912700231,0.006034005,0.833021711,SEKER
1160.772,447.7111926,267.3885695,1.674384187,345.0221123,0.770635441,0.004788662,0.593878983,CALI
915.307,359.2053494,197.7867172,1.816124735,265.7973714,0.73995939,0.006473685,0.5475399,HOROZ
724.509,242.8715934,190.5793454,1.274385705,214.9021749,0.884838658,0.006695842,0.782939452,SEKER
721.732,249.2813549,198.6156567,1.255094181,222.3365137,0.891909922,0.00642064,0.795503308,SEKER
638.896,239.9517784,158.6249029,1.512699293,194.8570668,0.812067608,0.008046403,0.6594538,DERMASON
904.806,358.823553,186.3452156,1.925585006,258.292868,0.719832536,0.006848039,0.518158879,HOROZ
1530.105,571.898425,351.3914853,1.627524994,444.8719834,0.777886359,0.003679247,0.605107187,BOMBAY
790.752,301.2185767,187.2377707,1.608749002,236.989176,0.786768129,0.00682865,0.619004089,SIRA
589.45,220.5987438,146.1876275,1.50901104,179.5009747,0.813698988,0.008717251,0.662106044,DERMASON
736.601,253.9681095,199.938391,1.270231836,225.0119341,0.885984995,0.006386725,0.784969411,SEKER
973.845,393.0484951,189.0698965,2.07885286,270.2367986,0.687540601,0.006852788,0.472712078,HOROZ
